recommendation_id,action,load_id,carrier_id,carrier_name,lane_id,expected_incremental_margin,confidence,expires_at,status,explanation,accept_probability,service_probability,historical_support_loads
REC-008,TENDER,L1009,C004,Pacific Route Carriers,LAX_DAL,894.35,0.636,2026-08-27 17:00:00,PENDING,"Tender Pacific Route Carriers on L1009. Expected buy is $2,652 versus $3,610 fallback; this use is worth $894 and is $894 better than the current allocation for this load.",0.8052,0.9592,72
REC-006,ASSIGN,L1006,C003,Lone Star Freight,DAL_PHX,815.57,0.731,2026-08-27 18:00:00,PENDING,"Assign Lone Star Freight on L1006. Expected buy is $2,102 versus $2,940 fallback; this use is worth $816 and is $0 better than the current allocation for this load.",0.8309,0.9662,53
REC-004,TENDER,L1003,C001,NorthStar Transport,CHI_NJ,655.1,0.743,2026-08-27 13:00:00,PENDING,"Tender NorthStar Transport on L1003. Expected buy is $1,876 versus $2,590 fallback; this use is worth $655 and is $0 better than the current allocation for this load.",0.8161,0.9631,32
REC-011,ASSIGN,L1013,C007,Peach State Express,ATL_NJ,609.08,0.74,2026-08-27 14:00:00,PENDING,"Assign Peach State Express on L1013. Expected buy is $2,131 versus $2,780 fallback; this use is worth $609 and is $0 better than the current allocation for this load.",0.8501,0.9717,70
REC-010,TENDER,L1012,C006,Queen City Haul,CLT_NJ,578.97,0.684,2026-08-27 19:00:00,PENDING,"Tender Queen City Haul on L1012. Expected buy is $1,561 versus $2,190 fallback; this use is worth $579 and is $579 better than the current allocation for this load.",0.8144,0.9621,21
REC-005,ASSIGN,L1004,C002,RedLine Logistics,CHI_ATL,506.73,0.7,2026-08-27 20:00:00,PENDING,"Assign RedLine Logistics on L1004. Expected buy is $1,777 versus $2,310 fallback; this use is worth $507 and is $215 better than the current allocation for this load.",0.8434,0.9697,38
REC-009,ASSIGN,L1011,C005,Circle City Trucking,IND_CLT,505.43,0.771,2026-08-27 21:00:00,PENDING,"Assign Circle City Trucking on L1011. Expected buy is $1,583 versus $2,110 fallback; this use is worth $505 and is $505 better than the current allocation for this load.",0.8376,0.9682,64
REC-001,RESERVE,F001-S1,C009,MetroFreight Partners,CHI_ATL,504.74,0.559,2026-08-27 22:00:00,PENDING,Reserve MetroFreight Partners until 22:00. Expected forecast value is $505 after applying a 89% arrival probability.,0.7873,0.9546,72
REC-012,ASSIGN,L1014,C008,Memphis Motor Freight,MEM_CHI,451.07,0.685,2026-08-27 22:00:00,PENDING,"Assign Memphis Motor Freight on L1014. Expected buy is $1,487 versus $1,960 fallback; this use is worth $451 and is $0 better than the current allocation for this load.",0.8358,0.9677,38
REC-007,ASSIGN,L1007,C010,Sunbelt Dedicated,DAL_ATL,448.1,0.715,2026-08-27 16:00:00,PENDING,"Assign Sunbelt Dedicated on L1007. Expected buy is $1,882 versus $2,375 fallback; this use is worth $448 and is $129 better than the current allocation for this load.",0.8316,0.9671,43
REC-003,ASSIGN,L1001,C001,NorthStar Transport,CHI_ATL,392.49,0.788,2026-08-27 12:00:00,PENDING,"Assign NorthStar Transport on L1001. Expected buy is $1,876 versus $2,325 fallback; this use is worth $392 and is $-87 better than the current allocation for this load.",0.8657,0.9763,21
REC-002,RESERVE,F002-S1,C003,Lone Star Freight,DAL_ATL,337.38,0.709,2026-08-28 01:00:00,PENDING,Reserve Lone Star Freight until 01:00. Expected forecast value is $337 after applying a 76% arrival probability.,0.8062,0.9596,38
